club_id,club_name,source_type,source_url,activity_tier,poll_frequency,status,last_checked_at,manual_review_due_at,notes
blt-runners-instagram,BLT Runners,instagram,https://www.instagram.com/bltrunners,medium,,active,,2026-05-02T12:10:02Z,Road and trail runners exploring scenic BLT routes. All abilities welcome. Supporters of Chain of Lakes parkrun.
blt-runners-website,BLT Runners,website,https://bltrunners.com,medium,,active,2026-04-28T12:10:02Z,,Road and trail runners exploring scenic BLT routes. All abilities welcome. Supporters of Chain of Lakes parkrun.
chain-of-lakes-parkrun-facebook,Chain of Lakes parkrun,facebook,https://facebook.com/Chainoflakesparkrun,high,,active,,2026-04-30T12:10:02Z,"Free weekly timed 5K. All abilities welcome. Post-run coffee at 5K Cafe. Technically an event, not a club."
chain-of-lakes-parkrun-instagram,Chain of Lakes parkrun,instagram,https://www.instagram.com/chainoflakesparkrun,high,,active,,2026-04-30T12:10:02Z,"Free weekly timed 5K. All abilities welcome. Post-run coffee at 5K Cafe. Technically an event, not a club."
chain-of-lakes-parkrun-website,Chain of Lakes parkrun,website,https://parkrun.ca/chainoflakes,high,,active,2026-04-28T12:10:02Z,,"Free weekly timed 5K. All abilities welcome. Post-run coffee at 5K Cafe. Technically an event, not a club."
cole-harbour-runners-facebook,Cole Harbour Runners,facebook,https://facebook.com/Coleharbourrunners,medium,,active,,2026-05-02T12:10:02Z,"6-8km runs ~6 min/km pace. Free, welcoming, coastal/suburban routes. No Instagram found."
dartmouth-runners-association-website,Dartmouth Runners Association,website,https://dartmouthrunners.com,high,,active,2026-04-28T12:10:02Z,,Community-driven free weekly runs. All levels welcome. No Instagram found.
dogrunnin-website,DogRunnin,website,https://dogrunnin.square.site,medium,,active,2026-04-28T12:10:02Z,,Dog-friendly running group! Various trails around HRM. No social media found — check website.
easy-breezy-run-club-instagram,Easy Breezy Run Club,instagram,https://instagram.com/easybreezy.runclub,medium,,active,,2026-05-02T12:10:02Z,"All paces welcome, relaxed morning runs. Post-run coffee at Cafe Byron."
easy-breezy-run-club-instagram-2,Easy Breezy Run Club,instagram,https://www.instagram.com/easybreezy.runclub,medium,,active,,2026-05-02T12:10:02Z,"All paces welcome, relaxed morning runs. Post-run coffee at Cafe Byron."
fast-company-running-club-facebook,Fast Company Running Club,facebook,https://facebook.com/p/Fast-Company-Running-Club-100057396312514,medium,,active,,2026-05-02T12:10:02Z,"Structured workouts, speed-focused, all abilities welcome. No Instagram found."
girls-gone-gazelle-run-club-facebook,Girls Gone Gazelle Run Club,facebook,https://facebook.com/girlsgonegazelle,medium,,active,,2026-05-02T12:10:02Z,FREE youth running club for girls ages 9–13. Founded 2012 by Coach Stacy Chesnutt. Trains 3 sessions/year. Not an adult club.
girls-gone-gazelle-run-club-website,Girls Gone Gazelle Run Club,website,https://girlsgonegazelle.com,medium,,active,2026-04-28T12:10:02Z,,FREE youth running club for girls ages 9–13. Founded 2012 by Coach Stacy Chesnutt. Trains 3 sessions/year. Not an adult club.
halifax-road-hammers-facebook,Halifax Road Hammers,facebook,https://facebook.com/hfxroadhammers,high,,active,,2026-04-30T12:10:02Z,Coaching-focused. Membership from $55/month. Two in-person group sessions per month.
halifax-road-hammers-instagram,Halifax Road Hammers,instagram,https://www.instagram.com/hfxroadhammers,high,,active,,2026-04-30T12:10:02Z,Coaching-focused. Membership from $55/month. Two in-person group sessions per month.
halifax-road-hammers-website,Halifax Road Hammers,website,https://hfxroadhammers.com,high,,active,2026-04-28T12:10:02Z,,Coaching-focused. Membership from $55/month. Two in-person group sessions per month.
halifax-road-runners-facebook,Halifax Road Runners,facebook,https://facebook.com/groups/1025332235969547,medium,,active,,2026-05-02T12:10:02Z,Community road running Facebook group. No Instagram found.
halifax-running-club-facebook,Halifax Running Club,facebook,https://facebook.com/profile.php?id=100063744333169,high,,active,,2026-04-30T12:10:02Z,Founded 2004. Sunday run includes post-run coffee and bagel social. Multiple pace groups.
halifax-running-club-instagram,Halifax Running Club,instagram,https://www.instagram.com/halifaxrunningclub,high,,active,,2026-04-30T12:10:02Z,Founded 2004. Sunday run includes post-run coffee and bagel social. Multiple pace groups.
halifax-running-club-website,Halifax Running Club,website,https://halifaxrunningclub.com,high,,active,2026-04-28T12:10:02Z,,Founded 2004. Sunday run includes post-run coffee and bagel social. Multiple pace groups.
halifax-trail-runners-facebook,Halifax Trail Runners,facebook,https://facebook.com/hfxtrailrunners,high,,active,,2026-04-30T12:10:02Z,Established 2006. 40–60 min weekly trail runs + occasional weekend events. No Instagram — check Facebook for schedule.
halifax-trail-runners-website,Halifax Trail Runners,website,https://halifaxtrailrunnersclub.blogspot.com,high,,active,2026-04-28T12:10:02Z,,Established 2006. 40–60 min weekly trail runs + occasional weekend events. No Instagram — check Facebook for schedule.
heart-sole-running-club-facebook,Heart & Sole Running Club,facebook,https://facebook.com/heartandsolerunclub,medium,,active,,2026-05-02T12:10:02Z,"Free club, 550+ members. Wed: hill/speed training at Sullivan's Pond. Sun: 5K–15K options. Post-run coffee/tea. No Instagram found."
heart-sole-running-club-website,Heart & Sole Running Club,website,https://heartandsolerunningclub.blogspot.com,medium,,active,2026-04-28T12:10:02Z,,"Free club, 550+ members. Wed: hill/speed training at Sullivan's Pond. Sun: 5K–15K options. Post-run coffee/tea. No Instagram found."
hfx-hares-instagram,HFX Hares,instagram,https://www.instagram.com/hfx_hares,medium,,active,,2026-05-02T12:10:02Z,"Established Dec 2020. Fun, social trail running crew. One rule: no littering! Strava group: HFX Hares."
north-end-runners-facebook,North End Runners,facebook,https://facebook.com/northendrunners,medium,,active,,2026-05-02T12:10:02Z,"Founded 2013. Wed: 6K @ 6PM all paces. Thu: #NERtimberwolves trail runs. Fri: #TUF hill/interval workouts May–Aug. Crew, not a club."
north-end-runners-instagram,North End Runners,instagram,https://www.instagram.com/northendrunners,medium,,active,,2026-05-02T12:10:02Z,"Founded 2013. Wed: 6K @ 6PM all paces. Thu: #NERtimberwolves trail runs. Fri: #TUF hill/interval workouts May–Aug. Crew, not a club."
north-end-runners-website,North End Runners,website,https://northendrunners.com,medium,,active,2026-04-28T12:10:02Z,,"Founded 2013. Wed: 6K @ 6PM all paces. Thu: #NERtimberwolves trail runs. Fri: #TUF hill/interval workouts May–Aug. Crew, not a club."
ns-trail-running-club-website,NS Trail Running Club,website,https://raceroster.com/memberships/3988/ns-trail-running-club,medium,,active,2026-04-28T12:10:02Z,,Membership includes Salomon discounts and other perks. Province-wide trail running.
queer-run-club-hfx-instagram,Queer Run Club HFX,instagram,https://www.instagram.com/qrchfx,medium,,active,,2026-05-02T12:10:02Z,"2SLGBTQIA+ welcoming. No sign-ups or pressure. Post-run coffee. Easy, social runs by the water."
